,Names,prices,Ratings,Images,Links
0,"realme 12x 5G (Twilight Purple, 128 GB)","₹14,999",4.3,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/n/i/w/-original-imagzk4mfg6zf2fv.jpeg?q=70,https://www.flipkart.com/realme-12x-5g-twilight-purple-128-gb/p/itmaa3401e5370b5?pid=MOBGYQ6BVK8HYMAG&lid=LSTMOBGYQ6BVK8HYMAGXL2LRY&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_1&otracker=nmenu_sub_Electronics_0_Realme&fm=organic&iid=fef1263d-8e62-4805-8a51-69a3a65d8241.MOBGYQ6BVK8HYMAG.SEARCH&ppt=None&ppn=None&ssid=32zdmq12kg0000001717685195337
1,"realme 12x 5G (Twilight Purple, 128 GB)","₹12,999",4.4,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/n/i/w/-original-imagzk4mfg6zf2fv.jpeg?q=70,https://www.flipkart.com/realme-12x-5g-twilight-purple-128-gb/p/itmaa3401e5370b5?pid=MOBGYQ6BMYWCAZEC&lid=LSTMOBGYQ6BMYWCAZECB5I66N&marketplace=FLIPKART&store=tyy%2F4io&spotlightTagId=BestsellerId_tyy%2F4io&srno=b_1_2&otracker=nmenu_sub_Electronics_0_Realme&fm=organic&iid=fef1263d-8e62-4805-8a51-69a3a65d8241.MOBGYQ6BMYWCAZEC.SEARCH&ppt=None&ppn=None&ssid=32zdmq12kg0000001717685195337
2,"realme 12x 5G (Woodland Green, 128 GB)","₹12,999",4.4,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/o/e/h/12x-5g-rmx3998-realme-original-imagzjx75vd6uygj.jpeg?q=70,https://www.flipkart.com/realme-12x-5g-woodland-green-128-gb/p/itmaa3401e5370b5?pid=MOBGYQ6BETBWFTDH&lid=LSTMOBGYQ6BETBWFTDHJLSPJZ&marketplace=FLIPKART&store=tyy%2F4io&spotlightTagId=BestsellerId_tyy%2F4io&srno=b_1_3&otracker=nmenu_sub_Electronics_0_Realme&fm=organic&iid=fef1263d-8e62-4805-8a51-69a3a65d8241.MOBGYQ6BETBWFTDH.SEARCH&ppt=None&ppn=None&ssid=32zdmq12kg0000001717685195337
3,"realme 12x 5G (Woodland Green, 128 GB)","₹14,999",4.3,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/o/e/h/12x-5g-rmx3998-realme-original-imagzjx75vd6uygj.jpeg?q=70,https://www.flipkart.com/realme-12x-5g-woodland-green-128-gb/p/itmaa3401e5370b5?pid=MOBGYQ6B7WKC4SVZ&lid=LSTMOBGYQ6B7WKC4SVZNEZRW7&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_4&otracker=nmenu_sub_Electronics_0_Realme&fm=organic&iid=fef1263d-8e62-4805-8a51-69a3a65d8241.MOBGYQ6B7WKC4SVZ.SEARCH&ppt=None&ppn=None&ssid=32zdmq12kg0000001717685195337
4,"realme C53 (Champion Black, 64 GB)","₹10,999",4.4,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/5/q/6/-original-imags487ftf3g2s7.jpeg?q=70,https://www.flipkart.com/realme-c53-champion-black-64-gb/p/itm5df90168ecd05?pid=MOBGQY93HQSAGAXG&lid=LSTMOBGQY93HQSAGAXGQEKU9E&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_5&otracker=nmenu_sub_Electronics_0_Realme&fm=organic&iid=fef1263d-8e62-4805-8a51-69a3a65d8241.MOBGQY93HQSAGAXG.SEARCH&ppt=None&ppn=None&ssid=32zdmq12kg0000001717685195337
5,"realme C53 (Champion Black, 128 GB)","₹8,999",4.1,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/5/q/6/-original-imags487ftf3g2s7.jpeg?q=70,https://www.flipkart.com/realme-c53-champion-black-128-gb/p/itm5df90168ecd05?pid=MOBGQY9378PDVDDC&lid=LSTMOBGQY9378PDVDDC216OJI&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_6&otracker=nmenu_sub_Electronics_0_Realme&fm=organic&iid=fef1263d-8e62-4805-8a51-69a3a65d8241.MOBGQY9378PDVDDC.SEARCH&ppt=None&ppn=None&ssid=32zdmq12kg0000001717685195337
6,"realme C53 (Champion Gold, 128 GB)","₹9,999",4.4,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/h/h/d/-original-imags487gaqqhcea.jpeg?q=70,https://www.flipkart.com/realme-c53-champion-gold-128-gb/p/itm5df90168ecd05?pid=MOBGTEVGHM9ZPZBB&lid=LSTMOBGTEVGHM9ZPZBBKT9GI8&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_7&otracker=nmenu_sub_Electronics_0_Realme&fm=organic&iid=fef1263d-8e62-4805-8a51-69a3a65d8241.MOBGTEVGHM9ZPZBB.SEARCH&ppt=None&ppn=None&ssid=32zdmq12kg0000001717685195337
7,"realme C53 (Champion Black, 128 GB)","₹9,999",4.4,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/5/q/6/-original-imags487ftf3g2s7.jpeg?q=70,https://www.flipkart.com/realme-c53-champion-black-128-gb/p/itm5df90168ecd05?pid=MOBGTEVGGM7CTGXU&lid=LSTMOBGTEVGGM7CTGXUNSRWPW&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_8&otracker=nmenu_sub_Electronics_0_Realme&fm=organic&iid=fef1263d-8e62-4805-8a51-69a3a65d8241.MOBGTEVGGM7CTGXU.SEARCH&ppt=None&ppn=None&ssid=32zdmq12kg0000001717685195337
8,"realme C53 (Champion Gold, 64 GB)","₹10,999",4.4,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/h/h/d/-original-imags487gaqqhcea.jpeg?q=70,https://www.flipkart.com/realme-c53-champion-gold-64-gb/p/itm5df90168ecd05?pid=MOBGQY939DG9GBQ8&lid=LSTMOBGQY939DG9GBQ8AQQV4I&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_9&otracker=nmenu_sub_Electronics_0_Realme&fm=organic&iid=fef1263d-8e62-4805-8a51-69a3a65d8241.MOBGQY939DG9GBQ8.SEARCH&ppt=None&ppn=None&ssid=32zdmq12kg0000001717685195337
9,"realme C65 5G (Feather Green, 64 GB)","₹10,499",4.1,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/4/8/i/-original-imahy99nvkpewtzy.jpeg?q=70,https://www.flipkart.com/realme-c65-5g-feather-green-64-gb/p/itma294063ac4410?pid=MOBHYFV8GYCCRUAY&lid=LSTMOBHYFV8GYCCRUAY53JVRP&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_10&otracker=nmenu_sub_Electronics_0_Realme&fm=organic&iid=fef1263d-8e62-4805-8a51-69a3a65d8241.MOBHYFV8GYCCRUAY.SEARCH&ppt=None&ppn=None&ssid=32zdmq12kg0000001717685195337
